,dia,nuo,defected,data,qSQI,cSQI,sSQI,kSQI,pSQI,basSQI,fSQI
101,0,1,1,"[-0.00494139 -0.00568095 -0.00639244 ... -0.01244175 -0.01106569
 -0.0096404 ]",0.005,0.626,-1.544,54.2,0.992,0.691,0.1670269161244791
102,0,0,0,"[-0.00183163 -0.00518739 -0.00844628 ...  0.01223278  0.01284548
  0.01327526]",0.305,0.599,1.44,5.349,0.985,0.827,0.35279737312358095
103,0,0,0,"[-1.70860064e-02 -1.68175725e-02 -1.65453959e-02 ... -2.30857434e-03
 -1.18573277e-03 -2.42513911e-05]",0.013,0.619,2.069,7.01,0.988,0.86,0.3972957899738631
104,1,0,0,"[-0.00739963 -0.00998415 -0.01245098 ...  0.00135662  0.00169733
  0.00206026]",0.185,0.579,4.596,118.533,0.986,0.685,0.1358423088365645
105,1,0,0,"[-0.00337673 -0.00329469 -0.00319001 ...  0.00424845  0.00400182
  0.00374169]",0.361,0.575,-0.93,7.768,0.99,0.827,0.48171349721837503
106,0,1,0,"[-0.00435461 -0.00061012  0.00300468 ...  0.00433567  0.00416891
  0.00404498]",0.269,0.574,2.129,6.714,0.985,0.916,0.4524259645761296
107,0,1,0,"[-0.00566591 -0.0050604  -0.00447224 ... -0.00863445 -0.00715501
 -0.00561958]",0.627,0.576,2.757,10.208,0.991,0.905,0.48311978143398127
108,0,0,1,[0.02202517 0.01866248 0.01535296 ... 0.01288703 0.01103066 0.00918072],0.19,0.586,-0.344,73.754,0.984,0.631,0.1219238129582844
109,0,0,1,"[-0.07276412 -0.07507609 -0.07730666 ... -0.00637431 -0.00630568
 -0.00625518]",0.222,0.762,-0.417,70.263,0.97,0.617,0.11567778365333309
110,0,0,1,[0.02503027 0.02359968 0.02218452 ... 0.01170689 0.01167957 0.01169645],0.463,0.567,1.384,27.86,0.988,0.68,0.22780577273959668
111,0,1,0,"[-0.01035473 -0.01091108 -0.01139287 ... -0.00212139 -0.00352257
 -0.00495726]",0.323,0.581,3.085,12.593,0.987,0.893,0.43693949397265985
112,0,0,0,[0.00480104 0.00376866 0.00276601 ... 0.00647178 0.00585063 0.00526511],0.037,0.657,3.105,12.521,0.99,0.889,0.42016710423773507
113,1,1,0,"[-0.01753236 -0.02063426 -0.02363062 ... -0.01054814 -0.01023603
 -0.00990132]",0.017,0.658,2.571,11.168,0.989,0.797,0.42296926624191883
114,1,1,0,"[-0.00666912 -0.00987051 -0.0129858  ... -0.01467296 -0.01288336
 -0.01105145]",0.011,0.62,2.459,12.973,0.989,0.801,0.447705914712102
115,0,0,1,"[-0.00324922 -0.0035081  -0.00374381 ... -0.00301831 -0.00202956
 -0.00099509]",0.009,0.551,1.03,118.33,0.988,0.726,0.20512934574462063
116,0,0,0,"[ 0.01054142  0.01231692  0.01403995 ... -0.00206143 -0.00230434
 -0.00255093]",0.01,0.649,0.469,10.572,0.987,0.732,0.2532894328321239
117,0,0,0,"[-0.27467247 -0.27303879 -0.27143947 ... -0.05402179 -0.04933285
 -0.04445768]",0.058,0.647,0.21,17.182,0.945,0.587,0.10503464687442557
118,0,1,0,"[-0.01025781 -0.01015018 -0.01007816 ... -0.00808874 -0.00667679
 -0.00523776]",0.232,0.648,2.066,6.385,0.985,0.85,0.39321581931008576
119,0,0,1,[0.00569996 0.0061023  0.00648021 ... 0.00206401 0.00130216 0.00052044],0.246,0.617,0.268,7.297,0.984,0.746,0.24329182217815098
120,0,0,0,"[-0.00821545 -0.0082727  -0.00832993 ... -0.01510086 -0.01458671
 -0.01412512]",0.612,0.59,3.759,18.158,0.99,0.911,0.5084678574282592
121,0,1,0,"[ 0.00145818 -0.00152814 -0.00440391 ...  0.01820107  0.01739011
  0.01663652]",0.023,0.651,3.377,15.955,0.988,0.901,0.49667434444049746
122,0,0,0,"[-0.0072794  -0.0112566  -0.01510223 ...  0.02100339  0.01733812
  0.01357418]",0.198,0.615,3.42,16.565,0.98,0.9,0.49754446795916857
123,0,0,0,"[-0.00393697 -0.00165468  0.00056684 ...  0.03205294  0.02739503
  0.02262014]",0.073,0.662,3.665,18.216,0.979,0.887,0.4918883320251982
124,1,0,0,"[-0.02820061 -0.02707228 -0.02586185 ... -0.03940098 -0.03939741
 -0.03935062]",0.358,0.587,-0.106,9.223,0.984,0.78,0.29627180164683997
125,1,0,1,"[-0.09149972 -0.08897932 -0.08655689 ...  0.00610601  0.00434337
  0.00251595]",0.537,0.607,-1.398,26.594,0.952,0.679,0.19365712059011128
126,0,0,1,"[-0.00832566 -0.00567325 -0.00306283 ... -0.02170637 -0.0198185
 -0.01793515]",0.196,0.53,-1.818,39.9,0.983,0.591,0.0709049350156109
127,0,0,1,"[ 0.01427387  0.01536099  0.01642203 ... -0.00410484 -0.00352532
 -0.00295979]",0.182,0.882,0.481,5.617,0.978,0.792,0.2983579098241432
128,0,1,0,"[-0.0086018  -0.01072245 -0.01275004 ... -0.01246187 -0.00914477
 -0.00575129]",0.73,0.571,3.129,13.592,0.99,0.88,0.4363377103858465
129,0,0,0,"[-0.00889066 -0.00985703 -0.0108003  ... -0.0021602  -0.00012398
  0.00202225]",0.105,0.643,2.336,10.753,0.984,0.853,0.4469921876895351
130,0,0,0,"[-0.00845376 -0.01144687 -0.01433109 ...  0.02181839  0.01829634
  0.01468825]",0.725,0.573,3.082,13.264,0.987,0.882,0.42798196195504423
131,0,0,0,"[-0.00535157 -0.0030573  -0.00080347 ...  0.00336079  0.00373169
  0.00414739]",0.145,0.602,1.938,10.716,0.985,0.837,0.4120868949360488
132,0,0,1,"[ 1.43570021e-03 -6.18051823e-05 -1.54163971e-03 ... -8.52660152e-03
 -7.52080525e-03 -6.48522856e-03]",0.086,0.576,-0.911,57.991,0.983,0.609,0.08805651743231596
133,0,0,1,"[ 0.0026853  -0.00052577 -0.00365195 ...  0.00377564  0.00218319
  0.00052401]",0.119,0.634,1.203,208.397,0.982,0.698,0.1366690634972206
134,0,1,1,"[ 0.004643   -0.0029669  -0.01041675 ...  0.01663467  0.01407043
  0.01138505]",0.059,0.809,-1.689,60.777,0.985,0.614,0.10738279193547202
135,0,0,0,"[-0.02134605 -0.01935974 -0.0173239  ... -0.0059416  -0.00530771
 -0.00465944]",0.165,0.608,-0.832,39.167,0.976,0.71,0.14776208146465128
136,0,1,1,"[-0.02794764 -0.03053662 -0.03305372 ...  0.01910322  0.01825036
  0.01741782]",0.002,0.651,1.76,17.33,0.986,0.819,0.34667656426925825
137,0,1,0,"[-0.00896903 -0.00795361 -0.00697778 ...  0.00339701  0.00410166
  0.00487686]",0.0,0.628,4.51,24.7,0.992,0.926,0.5064184497302604
138,0,1,0,"[-0.00627532 -0.00376885 -0.00131852 ... -0.00439516 -0.0044136
 -0.00444368]",0.067,0.639,2.768,13.313,0.988,0.855,0.4263424122316557
139,0,0,0,"[-0.01122413 -0.0122688  -0.01329864 ... -0.00267542 -0.00176222
 -0.00082703]",0.605,0.58,0.943,3.687,0.984,0.777,0.30693088008615643
140,0,1,0,"[-0.01428284 -0.01559061 -0.01680989 ... -0.00669234 -0.00561156
 -0.00454423]",0.004,0.608,3.882,20.369,0.988,0.933,0.5104273690392872
141,1,0,0,"[ 0.01253743  0.01229302  0.01200686 ... -0.01387059 -0.01146345
 -0.00901433]",0.012,0.632,1.942,6.924,0.985,0.843,0.4035765502881109
142,0,0,0,"[-0.01577649 -0.01572239 -0.01569465 ...  0.00114853  0.0012608
  0.00137105]",0.516,0.589,1.23,5.473,0.982,0.748,0.2523716315723677
143,1,1,0,"[-0.00760977 -0.00737044 -0.00713701 ...  0.00703091  0.00598529
  0.00491797]",0.7,0.577,1.998,8.069,0.988,0.841,0.4125287618930727
144,0,0,0,"[ 0.01354673  0.02183339  0.03013669 ... -0.01412806 -0.01224689
 -0.0102771 ]",0.615,0.581,1.782,7.618,0.988,0.83,0.40623209074555555
145,0,0,0,"[-0.0132431  -0.0142882  -0.01533109 ... -0.03699903 -0.03325714
 -0.02950809]",0.021,0.642,2.248,62.414,0.989,0.739,0.2707471189002602
146,1,1,0,"[ 0.00597111  0.00580358  0.00564186 ... -0.00771671 -0.00861421
 -0.00955202]",0.008,0.652,4.481,23.41,0.988,0.921,0.5343133260451799
147,1,1,0,"[-4.32066141e-03 -4.36121341e-03 -4.37424574e-03 ... -7.59088267e-05
 -2.17205659e-04 -3.08900068e-04]",0.002,0.652,-0.674,63.892,0.993,0.786,0.3705370649121257
148,0,1,0,"[-0.00556829 -0.0039994  -0.00242843 ...  0.0062641   0.00521292
  0.00414878]",0.163,0.478,0.791,5.067,0.979,0.843,0.5440240062903988
149,0,0,0,"[-0.00534502 -0.00620301 -0.00703615 ... -0.00659908 -0.0048755
 -0.00309799]",0.202,0.769,0.808,5.346,0.984,0.839,0.5564778965522634
150,2,1,0,"[-0.01151871 -0.01093222 -0.01033517 ...  0.00778061  0.00534737
  0.00287435]",0.26,0.57,1.013,2.709,0.983,0.847,0.40716295196232805
151,2,1,0,"[-0.00183409 -0.00223088 -0.00261885 ... -0.00794759 -0.0061902
 -0.00437512]",0.3,0.573,0.948,3.886,0.988,0.842,0.42813044039191045
152,0,0,0,"[ 0.00788026  0.00479544  0.00178112 ... -0.01238422 -0.01073485
 -0.00905779]",0.008,0.605,2.094,10.223,0.987,0.812,0.4443539427473604
153,0,0,0,"[-0.00446402 -0.00633875 -0.00820522 ...  0.00231233  0.00249647
  0.0026779 ]",0.005,0.553,6.024,155.45,0.985,0.717,0.1970647143896827
154,1,1,0,[0.01064142 0.01105689 0.01150285 ... 0.00182284 0.00172119 0.00160219],0.437,0.583,2.815,14.718,0.989,0.881,0.49332223656062457
155,0,1,0,[0.02091996 0.02134393 0.0217448  ... 0.0212158  0.0183207  0.01538308],0.011,0.636,2.88,14.088,0.988,0.849,0.4869657586938033
156,1,1,0,"[-0.002823   -0.00260599 -0.00239609 ...  0.00716786  0.00578344
  0.00436957]",0.0,0.617,4.081,20.479,0.991,0.916,0.5557025937225241
157,0,1,0,"[-0.01540773 -0.0149307  -0.01449283 ... -0.01544806 -0.01467436
 -0.01389434]",0.011,0.662,1.99,8.721,0.991,0.826,0.4259060054514445
158,0,0,0,"[-0.00869797 -0.00710372 -0.00557381 ...  0.00101451  0.00236983
  0.00377082]",0.791,0.585,2.002,6.96,0.99,0.849,0.35732455291133214
159,0,0,0,[0.00150147 0.00371801 0.00587601 ... 0.00509831 0.00368807 0.00227585],0.192,0.612,2.317,8.396,0.986,0.884,0.44281549259655556
160,0,1,0,"[-0.00740801 -0.00840111 -0.00934114 ... -0.00592473 -0.00637766
 -0.00688471]",0.002,0.539,1.608,5.739,0.992,0.816,0.3076565929789154
161,0,0,0,[0.03090556 0.03035175 0.0297644  ... 0.01294809 0.01131379 0.00965931],0.237,0.644,6.129,156.507,0.981,0.658,0.14670330716888996
162,0,0,0,"[ 0.00364846 -0.0013899  -0.00633688 ...  0.01246259  0.01087744
  0.00932217]",0.222,0.614,3.791,18.939,0.986,0.921,0.6092327189100862
163,0,0,0,"[-0.0189507  -0.02887493 -0.03872877 ...  0.00904903  0.00754627
  0.00602641]",0.107,0.646,1.512,26.471,0.983,0.814,0.48737107857455064
164,0,1,0,"[ 0.00146431  0.00112055  0.0007855  ... -0.00449647 -0.00317907
 -0.00183065]",0.036,0.657,1.737,10.498,0.988,0.804,0.3601008025607176
165,0,0,0,"[ 0.00127019 -0.00057683 -0.00237881 ... -0.01551886 -0.0126254
 -0.00965405]",0.264,0.897,2.074,267.986,0.985,0.694,0.19637174433890606
166,0,1,0,[0.00748352 0.00402942 0.00066551 ... 0.0045564  0.00394    0.00332749],0.009,0.557,2.411,12.811,0.989,0.795,0.34988635532643003
167,0,1,1,"[ 0.00885347  0.00809967  0.00736809 ... -0.00958891 -0.0073777
 -0.00509252]",0.247,0.678,1.149,5.012,0.973,0.83,0.2948676033144186
168,0,0,1,"[ 0.001609    0.00232538  0.00300328 ... -0.01597916 -0.01520497
 -0.01439606]",0.038,0.645,1.247,47.878,0.984,0.687,0.1798670950011448
169,0,0,1,"[ 0.06891877  0.06831811  0.06774711 ... -0.02023038 -0.01716179
 -0.014035  ]",0.273,0.647,1.026,26.264,0.934,0.724,0.17744186468211226
170,0,1,0,[0.01087455 0.00792358 0.00503563 ... 0.02186787 0.01726626 0.01253269],0.274,0.636,0.231,0.634,0.978,0.713,0.16848404907695974
171,0,1,1,[0.0095795  0.01971536 0.0295951  ... 0.00287695 0.00419196 0.00547037],0.365,0.639,0.614,8.957,0.975,0.818,0.27011014518666937
172,2,1,1,[0.0173884  0.01584886 0.01430069 ... 0.05511064 0.04530702 0.03525792],0.237,0.683,-1.223,44.329,0.98,0.753,0.28534989394050764
173,2,1,1,"[-0.00054176  0.00142171  0.00324758 ...  0.00253765  0.00190334
  0.00121912]",0.043,0.625,0.536,17.989,0.989,0.643,0.14160946292105936
174,0,1,0,"[ 0.00031026 -0.00113426 -0.00255753 ...  0.0056749   0.00383589
  0.00192648]",0.02,0.641,2.846,14.042,0.988,0.918,0.4831724769258894
175,0,1,0,"[-0.00313079 -0.00457544 -0.00597875 ...  0.03461797  0.03104442
  0.02740202]",0.006,0.623,2.856,14.401,0.984,0.888,0.45718505679012916
176,0,1,1,"[-0.02084836 -0.0185025  -0.01623881 ... -0.00235117 -0.00064522
  0.00113107]",0.103,0.751,1.214,127.126,0.987,0.721,0.25492985128566525
177,0,1,0,"[-0.05233669 -0.05501926 -0.05759863 ...  0.00488875  0.00356573
  0.00219582]",0.225,0.624,1.441,11.998,0.946,0.794,0.35952659932695563
178,0,0,0,[0.08971017 0.09173677 0.09367346 ... 0.00906292 0.00882268 0.00860058],0.531,0.58,0.4,9.796,0.911,0.672,0.14379835591130669
179,1,0,1,"[-0.03413898 -0.03269479 -0.03123753 ... -0.09108725 -0.08345867
 -0.075834  ]",0.128,0.614,-4.607,178.709,0.98,0.723,0.23450149866390904
180,0,0,1,[0.00596254 0.0063033  0.00664828 ... 0.00662159 0.00496218 0.00324729],0.638,0.586,4.501,128.119,0.986,0.534,0.05398168685186738
181,1,0,0,"[-0.00180263 -0.00244197 -0.00308925 ... -0.00404108 -0.0035212
 -0.00304165]",0.107,0.629,3.503,19.176,0.989,0.818,0.44553549830685213
182,0,0,0,"[ 0.00279276  0.00546267  0.00802783 ... -0.01022423 -0.00787001
 -0.00545088]",0.025,0.642,1.587,11.082,0.991,0.903,0.5708623269393457
183,0,1,0,"[-0.00259044 -0.00171386 -0.00083693 ...  0.00298972  0.00207174
  0.00116196]",0.013,0.62,2.876,131.837,0.99,0.652,0.15983744410186226
184,0,1,0,"[-0.00338124 -0.0032217  -0.00301419 ... -0.00127498 -0.00085668
 -0.00048365]",0.123,0.621,2.118,16.632,0.988,0.808,0.3208630692013098
185,0,1,0,"[-0.00994024 -0.00893582 -0.00791703 ... -0.00558674 -0.00574696
 -0.0059546 ]",0.411,0.58,1.297,9.028,0.989,0.862,0.39632020123218953
186,2,1,1,"[-0.00895964 -0.00835346 -0.00766805 ...  0.00109618  0.00114819
  0.00131021]",0.068,0.646,-1.804,53.612,0.987,0.666,0.1541341309324409
187,2,1,0,"[-0.0024671  -0.00058754  0.00125355 ...  0.0023209   0.00263406
  0.00299462]",0.503,0.58,5.665,169.449,0.988,0.796,0.2794412163870285
188,0,1,0,"[-0.00269001 -0.00118559  0.00022739 ...  0.00188657  0.00187144
  0.00181931]",0.101,0.666,2.396,10.09,0.989,0.863,0.4113319870777975
189,0,0,1,"[ 0.00895816  0.00798136  0.0070217  ... -0.0098096  -0.00805303
 -0.00629108]",0.011,0.632,1.625,5.584,0.988,0.781,0.28525389933205725
190,0,0,1,[0.02352414 0.02289857 0.02227984 ... 0.00712843 0.00677679 0.00641948],0.04,0.538,0.341,8.041,0.98,0.759,0.3031734296349329
191,0,0,0,"[-0.01490964 -0.01195752 -0.00897405 ... -0.00302689 -0.0023136
 -0.00156637]",0.012,0.57,0.118,49.779,0.99,0.695,0.20539803693676745
192,0,1,0,"[-0.01935437 -0.02197034 -0.02452061 ...  0.02118472  0.01780886
  0.01441649]",0.087,0.652,1.029,6.102,0.981,0.716,0.19348949346968497
193,0,0,0,"[-0.04033963 -0.0294487  -0.01866963 ... -0.00329383 -0.00374999
 -0.00419903]",0.323,0.588,1.733,12.399,0.976,0.806,0.35510909680000186
194,0,0,1,"[ 0.06655376  0.06858046  0.07054123 ... -0.00127414 -0.00177604
 -0.00227346]",0.025,0.578,-0.226,36.258,0.985,0.791,0.3206860176090225
195,0,0,1,"[-0.00455175 -0.0048616  -0.00517285 ... -0.0080735  -0.00714888
 -0.00619696]",0.164,0.608,-0.404,8.635,0.987,0.633,0.15166613991852032
196,0,0,1,"[-0.02220318 -0.02548715 -0.02865013 ... -0.00442126 -0.00430763
 -0.00418646]",0.007,0.591,-1.312,41.937,0.987,0.688,0.1932464557365371
197,0,0,0,"[-0.01270196 -0.01154178 -0.0104078  ...  0.01006338  0.00933927
  0.00860066]",0.02,0.56,2.252,8.465,0.977,0.777,0.3254474109304728
198,0,0,1,"[-5.25106641e-03 -6.30664948e-03 -7.31096211e-03 ...  1.12885479e-03
  5.98155624e-04  3.54738263e-05]",0.004,0.619,-1.635,48.606,0.991,0.584,0.08004636574463901
199,0,0,0,"[-7.59509029e-03 -9.22155537e-03 -1.08041603e-02 ...  8.97846079e-05
  3.15737601e-04  5.41001554e-04]",0.005,0.553,0.256,30.482,0.989,0.635,0.11315509398623984
200,1,1,0,[0.01309372 0.01401238 0.01489181 ... 0.00842093 0.00680209 0.00508672],0.034,0.618,1.968,11.001,0.989,0.781,0.30006360096869406
201,1,1,0,"[ 6.03417084e-05 -9.64521979e-04 -1.95480221e-03 ...  1.64923005e-02
  1.36541163e-02  1.07307218e-02]",0.0,0.635,1.711,13.283,0.991,0.716,0.24435705075491665
202,1,1,0,"[-0.01527516 -0.01261517 -0.0099839  ... -0.01015339 -0.00839261
 -0.00654528]",0.076,0.615,3.761,16.277,0.988,0.925,0.5488824097541734
203,1,1,0,"[-0.00543344 -0.00349956 -0.00161096 ... -0.00269029 -0.00288175
 -0.00305624]",0.124,0.59,3.595,15.127,0.992,0.906,0.5026324714553833
204,0,0,1,"[-0.00793619 -0.00690891 -0.00587693 ...  0.00471068  0.00414101
  0.00356081]",0.167,0.587,-1.321,20.666,0.989,0.687,0.17651485914646495
205,0,0,1,"[-0.20600806 -0.20776432 -0.20972594 ...  0.01340564  0.0110027
  0.00848994]",0.007,0.569,0.223,14.623,0.972,0.674,0.14923161651746475
206,1,0,0,[0.00410194 0.00529982 0.00644533 ... 0.00868612 0.00797375 0.00720766],0.615,0.567,4.412,22.804,0.993,0.925,0.5698869777508982
207,1,0,0,"[ 0.0021885   0.00542443  0.0086036  ... -0.00184591 -0.00125464
 -0.00062575]",0.008,0.615,4.521,23.894,0.993,0.928,0.562087418998839
208,0,0,0,"[-0.0552028  -0.05547184 -0.05575025 ...  0.00334304  0.00353682
  0.00380226]",0.222,0.919,1.615,6.701,0.965,0.788,0.29304653407372766
209,0,1,1,[0.00461921 0.00450786 0.00436783 ... 0.01047075 0.00835206 0.00612583],0.161,0.607,2.61,11.223,0.987,0.84,0.39383315869691804
210,1,0,1,[0.3081367  0.30403735 0.29998308 ... 0.02148661 0.02099958 0.02053558],0.0,0.589,-0.846,31.723,0.958,0.691,0.21093671890450666
211,1,0,1,[0.0175653  0.01812126 0.01870416 ... 0.014088   0.01245893 0.01078961],0.021,0.59,-0.438,16.818,0.988,0.699,0.1930803755090187
212,0,1,0,"[-0.00574084 -0.00861534 -0.01140755 ...  0.0070165   0.0041441
  0.00119961]",0.201,0.883,2.536,31.436,0.982,0.687,0.14966189407470806
213,0,1,0,"[ 0.02323688  0.02684044  0.03033604 ... -0.00402384 -0.00386399
 -0.00373479]",0.262,0.656,1.983,4.863,0.975,0.875,0.32032534295714693
214,1,1,0,"[-0.00879592 -0.01546849 -0.02202113 ...  0.00200072  0.00202302
  0.0020573 ]",0.004,0.639,0.645,12.358,0.985,0.753,0.28248934161869765
215,1,1,0,"[-0.00239241 -0.00022107  0.00189984 ... -0.0058979  -0.00535776
 -0.00479251]",0.008,0.642,2.871,11.916,0.99,0.873,0.4361968481829225
216,1,1,1,"[-0.0831135  -0.08036046 -0.07770117 ...  0.00626145  0.00576751
  0.00530991]",0.027,0.65,-0.997,37.802,0.979,0.699,0.18180278963795715
217,1,1,0,"[-0.01247744 -0.01130205 -0.01012006 ... -0.01853288 -0.01529793
 -0.01209566]",0.03,0.611,3.291,16.944,0.992,0.923,0.4623484239465218
218,1,1,0,"[-0.00607536 -0.006279   -0.00646214 ...  0.15038765  0.15106552
  0.15214176]",0.01,0.651,4.553,25.325,0.954,0.896,0.5166750595215277
219,1,1,0,"[-6.03481735e-03 -8.53350258e-06  5.85310872e-03 ... -7.18932735e-03
 -6.63604743e-03 -6.04520890e-03]",0.863,0.574,3.717,21.941,0.993,0.857,0.43817492882662257
220,0,0,0,"[ 0.00021048 -0.00109835 -0.00236964 ...  0.01561284  0.01551499
  0.01543958]",0.071,0.638,2.586,9.006,0.982,0.878,0.4395199673974591
221,0,0,0,[0.00560748 0.00495356 0.00430036 ... 0.00173107 0.0017736  0.00182064],0.0,0.541,2.769,10.836,0.991,0.868,0.45511765665017945
222,0,0,0,"[-2.54189326e-03 -1.22777172e-03  5.85976725e-05 ... -1.51242286e-04
  3.51058332e-04  9.10961043e-04]",0.18,0.598,1.298,2.748,0.986,0.83,0.3375427473079739
223,0,0,0,"[-0.00677873 -0.00512871 -0.00351399 ...  0.0119122   0.010672
  0.00942257]",0.078,0.654,1.085,3.794,0.982,0.775,0.3036993516354076
224,1,0,0,"[ 0.00525579  0.0019557  -0.00131883 ... -0.00841302 -0.00641467
 -0.00429757]",0.216,0.869,0.975,5.125,0.981,0.878,0.4510646576960858
225,1,0,0,"[-0.01180975 -0.01161036 -0.01142048 ...  0.02802849  0.02562272
  0.02319603]",0.303,0.575,1.096,6.204,0.979,0.833,0.4050622418416849
226,1,0,1,"[-0.03401644 -0.03841147 -0.04266844 ...  0.02331393  0.02068294
  0.01800177]",0.135,0.66,1.37,5.151,0.971,0.763,0.27104684003538915
227,1,0,0,"[-0.00086234 -0.00128555 -0.00173018 ... -0.00413218 -0.00439787
 -0.00465772]",0.016,0.638,2.08,7.014,0.989,0.837,0.3825271998944012
228,0,0,1,"[ 0.10073371  0.08995488  0.07946805 ... -0.00878613 -0.01008951
 -0.01150414]",0.15,0.505,0.729,37.129,0.973,0.71,0.19381914964371855
229,0,0,0,"[-0.03385484 -0.03475113 -0.03560426 ... -0.01198327 -0.01290974
 -0.01392308]",0.023,0.601,3.684,18.06,0.987,0.872,0.45452962439278327
230,1,1,0,"[-0.00289157 -0.00222058 -0.00153216 ...  0.01032364  0.00907635
  0.00784253]",0.142,0.656,1.809,7.23,0.987,0.88,0.41232182612664425
231,1,1,0,"[-0.00696909 -0.00366609 -0.00025171 ...  0.01145685  0.0105438
  0.00960342]",0.538,0.569,1.84,9.783,0.986,0.863,0.42140727797346395
232,0,1,0,"[-0.00580375 -0.00454444 -0.00330923 ...  0.0061421   0.00383887
  0.00147588]",0.447,0.582,2.693,9.945,0.992,0.9,0.5053735312033552
233,0,1,0,"[ 0.00312524  0.00377615  0.00445094 ... -0.00652041 -0.00531469
 -0.00409745]",0.629,0.573,1.29,9.205,0.993,0.765,0.3294506798684998
234,1,1,1,[0.01595753 0.01333868 0.01078737 ... 0.02109716 0.0199542  0.01881317],0.266,0.817,2.371,9.24,0.985,0.917,0.41219263326056954
235,1,1,0,"[-0.02039184 -0.02082373 -0.02127289 ... -0.00104504 -0.00183498
 -0.00273394]",0.151,0.891,-0.47,139.321,0.986,0.716,0.25575031032099393
236,1,1,0,"[ 0.00209081  0.00263936  0.00318695 ... -0.00701573 -0.006513
 -0.00600732]",0.008,0.619,2.312,11.321,0.989,0.909,0.6299868593095405
237,1,1,0,"[-0.00139916 -0.00022615  0.00091036 ...  0.00235412  0.00206292
  0.00176724]",0.369,0.582,2.518,12.597,0.994,0.909,0.6573016700370499
238,0,1,1,"[-0.00040821  0.00035138  0.00108779 ...  0.00162649  0.00156995
  0.00152917]",0.424,0.59,-0.555,32.073,0.992,0.687,0.19480454856783144
239,0,0,0,"[-0.00431857 -0.00415238 -0.00397983 ... -0.00959228 -0.00877509
 -0.00797737]",0.887,0.581,1.095,13.537,0.996,0.711,0.24660324459334648
240,0,0,1,"[ 0.0025641   0.00327809  0.00401641 ... -0.01395543 -0.01320706
 -0.0125017 ]",0.008,0.618,-0.367,88.644,0.988,0.641,0.14644541805031355
241,0,1,0,"[-0.00290262 -0.00246453 -0.00205518 ... -0.00877742 -0.00816115
 -0.00755031]",0.665,0.568,3.363,15.009,0.992,0.88,0.470632764854022
242,1,1,0,"[-6.51155027e-03 -5.64303529e-03 -4.77869286e-03 ... -1.18292729e-03
 -5.47658458e-04  8.51588755e-05]",0.023,0.631,2.16,8.371,0.988,0.82,0.45400894825391164
243,1,1,0,"[-2.97350786e-03 -2.79010976e-03 -2.62536198e-03 ... -6.66798677e-05
  2.36582038e-04  5.67548066e-04]",0.659,0.574,2.638,9.824,0.992,0.844,0.4161444774039941
244,1,1,0,"[-0.05031692 -0.05232302 -0.05426172 ...  0.00323743  0.00235325
  0.00143803]",0.008,0.647,-2.357,54.372,0.977,0.728,0.18409985240494986
245,1,1,0,"[-0.00149524 -0.00245209 -0.00338056 ... -0.00030299 -0.00037204
 -0.00041481]",0.555,0.574,1.735,9.045,0.993,0.846,0.3477765776498905
246,0,1,0,"[-0.00406418 -0.0019129   0.00017325 ...  0.01183943  0.01041845
  0.00897299]",0.257,0.595,1.784,4.049,0.976,0.852,0.33146022682265014
247,0,0,0,[0.00136741 0.00644189 0.01138619 ... 0.03469676 0.0274849  0.02011288],0.284,0.643,1.834,3.807,0.973,0.864,0.2886299347422685
248,1,1,0,[0.01275112 0.01792037 0.02292639 ... 0.01072735 0.00863    0.00650062],0.42,0.581,4.432,22.414,0.986,0.895,0.5531303037153894
249,1,1,0,"[ 0.00687908  0.00014401 -0.00642991 ... -0.00938414 -0.00634463
 -0.00325435]",0.112,0.624,4.303,21.915,0.985,0.877,0.5468378550910299
250,1,1,0,"[-0.01199146 -0.0094761  -0.00698644 ... -0.00258297 -0.00156787
 -0.00046316]",0.221,0.641,3.415,13.716,0.985,0.919,0.5517077760470273
251,1,1,0,"[ 0.00555724  0.00456538  0.00355558 ... -0.00083372  0.00020084
  0.00123497]",0.254,0.567,3.443,13.899,0.989,0.901,0.5396717575120283
252,0,0,1,"[-0.00105998 -0.00555762 -0.0099973  ... -0.0103227  -0.0129388
 -0.01560819]",0.214,0.735,1.337,53.532,0.972,0.637,0.0988303463530734
253,0,0,1,"[-0.00501013 -0.00721663 -0.00937534 ...  0.00804014  0.00851799
  0.0090403 ]",0.228,0.602,2.371,30.648,0.978,0.677,0.17254160126978205
254,1,1,1,"[-0.02519162 -0.02459884 -0.0239961  ... -0.01954879 -0.01619824
 -0.01277622]",0.212,0.572,3.158,119.918,0.986,0.732,0.2794644457443965
255,1,1,0,"[-0.00516794 -0.00467968 -0.00423258 ... -0.00699673 -0.00511813
 -0.00323837]",0.21,0.595,1.077,4.08,0.989,0.761,0.263999963350395
256,0,0,0,"[-0.01538327 -0.00884322 -0.0024482  ... -0.00749716 -0.00723364
 -0.00697757]",0.015,0.648,1.629,33.286,0.986,0.749,0.25380021986348783
257,0,0,0,"[-0.00595934 -0.0066844  -0.00737546 ...  0.00036249 -0.00052225
 -0.00141316]",0.006,0.626,1.911,23.333,0.991,0.792,0.34724010357597185
