,dia,nuo,defected,data,qSQI,cSQI,sSQI,kSQI,pSQI,basSQI,fSQI
439,1,1,0,"[-0.0052891  -0.00371887 -0.00219435 ... -0.11234382 -0.10877995
 -0.10521516]",0.004,0.59,3.574,18.552,0.969,0.871,0.5139714055039463
440,0,0,1,"[-0.01086785 -0.01021428 -0.00959458 ... -0.00452513 -0.00385621
 -0.00317302]",0.179,0.608,1.444,4.448,0.98,0.778,0.23890062225748754
441,0,1,0,"[-0.00578162 -0.00874084 -0.01165094 ... -0.00641617 -0.00611009
 -0.00582233]",0.217,0.65,1.752,5.689,0.984,0.762,0.22840162532682418
442,1,1,0,[0.01616662 0.02059352 0.02492336 ... 0.00132765 0.00309525 0.00497612],0.048,0.584,2.718,13.968,0.992,0.908,0.4241866152924481
443,1,1,0,"[ 0.00803943  0.00827616  0.00853013 ... -0.00293244 -0.00267742
 -0.00241944]",0.635,0.573,1.256,7.195,0.991,0.81,0.31801076830396
444,0,0,0,"[-0.00584673 -0.00944618 -0.01296494 ...  0.01300281  0.01114806
  0.00921211]",0.295,0.705,1.427,2.202,0.974,0.783,0.17034599381546497
445,0,0,0,"[-0.00441665 -0.00148525  0.00135786 ... -0.00486461 -0.00365134
 -0.00242042]",0.237,0.928,1.594,2.669,0.979,0.843,0.21803936733761556
446,0,0,1,"[-0.00410023 -0.00425749 -0.00439091 ...  0.00157304  0.00125392
  0.0008822 ]",0.302,0.612,8.79,202.029,0.98,0.729,0.2062125059695302
447,1,1,0,"[ 0.0115329   0.01244011  0.01333493 ... -0.02478429 -0.02208684
 -0.01936616]",0.855,0.577,2.237,7.931,0.985,0.854,0.42393811596597486
448,0,0,1,"[ 0.01182963  0.01339686  0.01485282 ... -0.00502754 -0.00441516
 -0.00379761]",0.315,0.645,2.083,43.467,0.975,0.671,0.11308634919358547
449,1,1,0,"[ 0.0020957   0.00278036  0.00343678 ... -0.01463937 -0.01260348
 -0.01055078]",0.004,0.674,1.954,7.257,0.991,0.83,0.406563235740798
450,1,1,0,"[-0.00367829 -0.0046378  -0.00556794 ... -0.01625828 -0.0130382
 -0.00969979]",0.623,0.588,2.158,8.256,0.989,0.897,0.5720875260307177
451,1,1,0,"[ 0.00401466  0.00584322  0.00764255 ... -0.03759538 -0.0359147
 -0.03420409]",0.229,0.577,-8.125,302.647,0.983,0.812,0.41403234271431777
452,1,0,0,"[-0.01671905 -0.01572492 -0.01473321 ... -0.00344052 -0.00388287
 -0.00435434]",0.0,0.612,3.942,23.077,0.992,0.882,0.5790716995713663
453,1,0,0,"[-0.00981989 -0.00895666 -0.00807472 ...  0.00716207  0.00475096
  0.00226184]",0.081,0.592,2.812,14.762,0.992,0.842,0.4893628477488824
454,0,0,0,"[ 0.00219365  0.00324249  0.00425533 ... -0.02745332 -0.02021685
 -0.01295532]",0.213,0.57,0.454,8.632,0.989,0.819,0.3832692133154645
455,0,1,0,"[-0.01106719 -0.02199731 -0.03270329 ...  0.02855085  0.02223405
  0.01590727]",0.271,0.586,0.868,5.692,0.989,0.872,0.3735855358998654
